observation_id,match_date,lock_time,source_record,match,league,market_type,market_scope,minute,score_state,line,selection,odds_at_lock,market_prob,model_prob,confidence_color,value_score,stability_score,uncertainty_penalty,official_plan,simulated_only,result_score,settlement,hit,return_amount,profit,source,snapshot_file,review_record,notes
2026-06-04-spain-iraq-u45,2026-06-04,2026-06-05T00:00+08:00,records/reviews/2026-06-05.md,Spain vs Iraq,International Friendly,total,full_time,pre_match,0-0,4.5,under,1.40,,,yellow,,,,false,true,1-1,won,true,1.40,0.40,review,,records/reviews/2026-06-05.md,"Review says Spain under 4.5 hit; use as reviewed observation sample."
2026-06-04-slovenia-cyprus-home,2026-06-04,2026-06-04T17:00+08:00,records/17_check/2026-06-04.md,Slovenia vs Cyprus,International Friendly,1x2,full_time,pre_match,0-0,,home_win,1.40,,,yellow,,,,false,true,1-1,lost,false,0.00,-1.00,review,,records/reviews/2026-06-05.md,"Low-price friendly favorite failed; useful negative sample."
2026-06-04-france-ivorycoast-o25,2026-06-04,2026-06-05T00:00+08:00,records/reviews/2026-06-05.md,France vs Ivory Coast,International Friendly,total,full_time,pre_match,0-0,2.5,over,1.56,,,yellow,,,,false,true,1-2,won,true,1.56,0.56,review,,records/reviews/2026-06-05.md,"Review says over 2.5 hit; source row retained for total-goals branch."
2026-06-04-france-ivorycoast-home,2026-06-04,2026-06-05T00:00+08:00,records/reviews/2026-06-05.md,France vs Ivory Coast,International Friendly,1x2,full_time,pre_match,0-0,,home_win,1.35,,,yellow,,,,false,true,1-2,lost,false,0.00,-1.00,review,,records/reviews/2026-06-05.md,"Favorite win failed; do not use over signal as favorite-win evidence."
2026-06-04-andorra-liechtenstein-home,2026-06-04,2026-06-05T00:00+08:00,records/reviews/2026-06-05.md,Andorra vs Liechtenstein,International Friendly,1x2,full_time,pre_match,0-0,,home_win,1.53,,,yellow,,,,false,true,2-0,won,true,1.53,0.53,review,,records/reviews/2026-06-05.md,"Low-tier friendly sample; keep separate from higher-liquidity matches."
2026-06-04-cambodia-bhutan-home,2026-06-04,2026-06-05T00:00+08:00,records/reviews/2026-06-05.md,Cambodia vs Bhutan,International Friendly,1x2,full_time,pre_match,0-0,,home_win,1.20,,,yellow,,,,false,true,4-0,won,true,1.20,0.20,review,,records/reviews/2026-06-05.md,"Low odds favorite hit but limited value."
2026-06-04-lesotho-kenya-btts-no,2026-06-04,2026-06-04T19:38+08:00,records/live/2026-06-04-lesotho-kenya.md,Lesotho vs Kenya,International Friendly,btts,full_time,pre_match,0-0,,no,1.90,52.60,62-67,yellow,,,,false,true,1-1,lost,false,0.00,-1.00,live_report,,records/reviews/2026-06-05.md,"Low-score structure was wrongly translated into BTTS No."
2026-06-04-lesotho-kenya-u25,2026-06-04,2026-06-04T19:38+08:00,records/live/2026-06-04-lesotho-kenya.md,Lesotho vs Kenya,International Friendly,total,full_time,pre_match,0-0,2.5,under,1.80+,,54-57,yellow,,,,false,true,1-1,won,true,1.80,0.80,live_report,,records/reviews/2026-06-05.md,"Threshold observation; only count when available odds were 1.80 or better."
2026-06-04-lesotho-kenya-away,2026-06-04,2026-06-04T19:38+08:00,records/live/2026-06-04-lesotho-kenya.md,Lesotho vs Kenya,International Friendly,1x2,full_time,pre_match,0-0,,away_win,1.85+,53.00,46-53,yellow,,,,false,true,1-1,lost,false,0.00,-1.00,live_report,,records/reviews/2026-06-05.md,"Threshold observation; favorite value remained fragile."
2026-06-05-mexico-serbia-u35,2026-06-05,2026-06-05T08:00+08:00,records/live/2026-06-05-mexico-serbia.md,Mexico vs Serbia,International Friendly,total,full_time,pre_match,0-0,3.5,under,1.40,,64-70,green,,,,false,true,,,,,,live_report,,,"Pending settlement at dataset creation."
2026-06-05-mexico-serbia-u25,2026-06-05,2026-06-05T08:00+08:00,records/live/2026-06-05-mexico-serbia.md,Mexico vs Serbia,International Friendly,total,full_time,pre_match,0-0,2.5,under,2.10,,45-49,yellow,,,,false,true,,,,,,live_report,,,"Pending settlement at dataset creation."
2026-06-05-mexico-serbia-home,2026-06-05,2026-06-05T08:00+08:00,records/live/2026-06-05-mexico-serbia.md,Mexico vs Serbia,International Friendly,1x2,full_time,pre_match,0-0,,home_win,1.28,70.40,51-58,yellow,,,,false,true,,,,,,live_report,,,"Pending settlement at dataset creation; low price not recommended."
